"Channels","planMonths","beta_20130101","beta_20130201","beta_20130301","beta_20130401","beta_20130501","beta_20130601","beta_20130701","beta_20130801","beta_20130901","beta_20131001","beta_20131101","beta_20131201","beta_20140101","beta_20140201","beta_20140301","beta_20140401","beta_20140501","beta_20140601","beta_20140701","beta_20140801","beta_20140901"
"SEM_LTA",1,0.503354786623826,0.295045606362322,0.151221544132944,0.151221121071939,0.0501712035434467,0.151220986247916,0.102199420698331,0.102198834566778,0.10219854801885,0.102198338576214,0.102198004162928,0.102198377173365,0.102199347450109,0.102198571350502,0.102198734537034,0.102199100023897,0.102199121390837,0.102199049021432,0.102199480675515,0.122113026674993,0.122112678616031
"Display_LTA",1,0.467920489191151,0.467920484240829,0.467920784892245,0.467919005586705,0.467920681060429,0.467919915990368,0.467919973736116,0.4679206152846,0.335053757406491,0.467920338873487,0.509225889162991,0.509226045843275,0.509225474847521,0.467920818592128,0.467920501694932,0.467917996562089,0.364966818480351,0.467919800519627,0.429195496545864,0.364964703952015,0.364967540885814
"FB_LTA",1,0.031748882684525,0.98065522536555,0.980654943640179,0.98065420350259,0.980651262564047,0.980654922714062,0.980654902264695,0.980653675293654,0.980654546110363,0.870427160464436,0.87042706246696,0.87042751150272,0.870427293873757,0.870427136880046,0.870426855117331,0.870423415538034,0.870425929500206,0.870426899781299,0.855752655861939,0.86563345279171,0.831077852294449
"Affiliates_LTA",1,0.237100894649251,0.177948348038957,0.237101241916575,0.237102095349769,0.346953231903994,0.346951957815717,0.237101264894691,0.177948048118725,0.1779456326461,0.177946791756322,0.17794687487759,0.177947084869123,0.177948004403026,0.177947574272963,0.237099900438021,0.237101328672508,0.23710149727133,0.237101459856388,0.17794754878615,0.159272892898692,0.159272132136198
"Partners_LTA",1,0.739349108844643,0.739348249899931,0.739347820263986,0.739348169024976,0.739346675932723,0.73934820585681,0.739347776463838,0.739348276390078,0.739348267233068,0.739347891863814,0.739348402981737,0.739348182562155,0.739348213956164,0.739348203070846,0.739348444372665,0.739347851272692,0.739347798003613,0.739348130646961,0.739348477211795,0.6094220201489,0.739343918885749
"SEM_MTA",1,0.432288536190277,0.432287368309623,0.125985149554645,0.125982295276048,0.125985206246768,0.266991885048261,0.125985046800008,0.125984641111412,0.12598468718903,0.111925673142393,0.111925581517474,0.125984241206038,0.125985148571041,0.125984734364469,0.125984062273662,0.125983985818299,0.125984505322849,0.125981750582241,0.125985059730409,0.125984468931606,0.12598476115827
"Display_MTA",1,0.198805140766148,0.198805977189266,0.198806832419219,0.198806355482918,0.198806092277965,0.198806046015678,0.198806252491188,0.198806362821453,0.111990844988191,0.198805698896503,0.195281218724524,0.195281438031831,0.195281256041984,0.195280548258942,0.178437328204684,0.178436688862564,0.178436698738599,0.178440251384376,0.19527847809244,0.178438656771142,0.185229466545163
"FB_MTA",1,0.0317487270181382,0.774537723190194,0.911894556774194,0.911894205803503,0.911893947910295,0.911893905054177,0.911894172273905,0.911893926735267,0.911894606947365,0.774538639928432,0.774537424918555,0.774537924093251,0.774538110429081,0.774537441547852,0.774537756789624,0.774537474183046,0.77453680829232,0.774536742754767,0.77453604951766,0.774536733076582,0.77453696531462
"Affiliates_MTA",1,0.116615375706943,0.11661647479792,0.11661536464579,0.116615761614631,0.116617104123237,0.116616451769896,0.115570968741792,-0.00989269279739242,-0.00989596900279921,-0.00989526104768876,-0.00989584110378746,-0.0098955112279185,-0.00989519678790471,-0.00989527586570477,-0.00989547302065753,-0.00989532089641378,0.0341915275550131,0.116613218241908,0.0629602345429256,0.0257113885983984,-0.009895658635128
"Partners_MTA",1,0.925271814319594,0.808654152968901,0.808654089789934,0.808653593016856,0.808653490454894,0.808653995935583,0.8086538011339,0.808654483409393,0.808653879384835,0.808653984170512,0.808653894487767,0.808654680456778,0.808654092992955,0.808653819586906,0.808653352027319,0.808653343723621,0.808653886749758,0.808653573447618,0.808653347755491,0.808653018076884,0.808653463765548
"SEM_LTA",2,0.642707625895527,0.642707980794965,0.64270786688752,0.642705517691174,0.642707759052279,0.642707503627787,0.631994085014133,0.631993299146263,0.631993566949348,0.631993415048945,0.484699244889572,0.484698632935906,0.484699520779187,0.484698526126636,0.484698819817432,0.484697816760936,0.484697906835883,0.484698317849456,0.484698146716784,0.484698498021006,0.484698464230857
